,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Deni Avdija,WAS,21,82,35,47,24.2,109.2,110.1,-1,11.7,1.92,18.7,2.7,18.2,10.6,9.7,50.3,53.6,15.8,99.88,8.6,4118
1,Dwight Powell,DAL,30,82,52,30,21.9,113.2,110.6,2.5,8.1,1.52,15.1,9.9,13.4,11.6,10,68.7,72.5,13.6,95.12,10.2,3556
1,Kevon Looney,GSW,26,82,53,29,21.1,113.2,107.2,6,12.7,2.46,25.2,12,21,16.6,10.2,57.1,58.6,12,99.65,10.2,3574
1,Mikal Bridges,PHX,25,82,64,18,34.8,116.7,106.9,9.8,8.4,2.72,15.7,2.7,8.9,6,5.8,60.1,62.7,14.9,100.59,9.1,5976
1,Saddiq Bey,DET,23,82,23,59,33,104.7,114,-9.3,13.8,2.43,14.8,3.5,12.5,7.8,6.1,48.9,52.9,20.9,99.32,10,5605
6,Alec Burks,NYK,30,81,37,44,28.6,110.3,108.1,2.3,15.8,2.63,20.5,1.9,14.8,8.2,7.8,49.9,55.9,17.1,96.97,9.9,4691
6,Buddy Hield,IND,29,81,26,55,30.8,111.4,115.1,-3.6,13.5,1.5,15.1,2.5,11.4,6.8,10.1,52.6,54.8,21.4,100.47,8.4,5242
6,Patty Mills,BKN,33,81,44,37,29,112.3,110.7,1.5,10.6,2.51,17.1,0.8,5.5,3.2,6.8,55.1,56.3,16,100.56,6.6,4933
6,Terance Mann,LAC,25,81,41,40,28.6,108.6,107.1,1.5,13.1,2.49,19.8,4.4,12.7,8.6,8,53.9,57.2,15.7,98.84,9.5,4768
10,Chris Boucher,TOR,29,80,48,32,21.1,111,105.7,5.3,2.2,0.6,3.4,9.5,18.3,13.7,5.8,52.3,57,17.2,97.6,11.1,3440
10,Dorian Finney-Smith,DAL,29,80,51,29,33,114.8,110.4,4.4,8,1.88,15.6,4.7,9.5,7.2,8.3,59.5,60.4,13.8,94.83,7.6,5227
10,Evan Fournier,NYK,29,80,36,44,29.5,109.7,112.5,-2.7,11.4,1.63,13.3,1.3,7.3,4.2,8.2,54.1,55.4,20.1,97.94,7.4,4828
10,Miles Bridges,CHA,24,80,41,39,35.5,114.5,112.4,2.1,15.3,2,16.6,3,15.8,9.4,8.3,55.4,59.3,22.4,100.98,12,5975
14,Duncan Robinson,MIA,28,79,52,27,25.9,110.4,107.9,2.6,9.5,2.15,13.8,1.2,8.9,5,6.4,55.9,57.3,17.4,96.48,6.7,4106
14,Franz Wagner,ORL,20,79,21,58,30.7,105.9,110.8,-4.9,15.1,1.94,16.2,3.3,10.6,6.9,8.4,51.7,55.9,20.8,100.13,10.2,5070
14,Jalen Brunson,DAL,25,79,50,29,31.9,113.8,109.4,4.4,23.7,3.04,23.7,1.7,10.5,6.2,7.8,54.9,58.3,21.5,95.68,12.2,5036
14,Jordan Clarkson,UTA,30,79,47,32,27.1,115.7,107,8.7,14.4,1.5,12.9,3,9.1,6.1,8.6,50.4,53.2,25.8,98.29,9.7,4384
14,KJ Martin,HOU,21,79,20,59,21,108.5,115.4,-6.9,9.1,1.68,13.7,4.7,13.1,8.8,8.2,59.1,60.3,15.8,102.4,9.5,3536
14,Malik Beasley,MIN,25,79,46,33,25,112.1,110.1,2,8.5,2.7,11.3,1.2,10,5.4,4.2,53.2,54.4,18.9,103.24,8.1,4250
20,Herbert Jones,NOP,23,78,36,42,29.9,112.2,110.2,2,9.7,1.67,18.3,4.1,8.6,6.3,10.9,52.5,57.3,13.6,98.84,6.8,4796
20,Immanuel Quickley,NYK,23,78,35,43,23.1,111.4,104.8,6.6,24.4,2.78,23.3,1.7,11.4,6.6,8.4,48.7,54.3,21.7,96.27,11,3626
20,Jae'Sean Tate,HOU,26,78,19,59,26.4,105.3,114.2,-8.9,17.1,1.6,19,6.3,13.5,9.8,11.9,54.1,56.7,19.4,101.95,9,4361
20,Jaren Jackson Jr.,MEM,22,78,53,25,27.3,113.9,106,7.9,5.8,0.66,6.1,5,14.5,9.7,9.3,47.7,53.5,24.8,101.97,9.6,4518
20,Russell Westbrook,LAL,33,78,31,47,34.3,107.5,111.5,-4,31.1,1.86,24.4,3.9,16.5,10.3,13.1,47.6,51.2,26.4,102.57,11.3,5730
20,Torrey Craig,PHX,31,78,36,42,20.5,106.8,111.8,-5,8.2,1.36,14.7,5,13.7,9.3,10.8,54.1,55.6,13.9,100.36,7.3,3329
26,Ayo Dosunmu,CHI,22,77,42,35,27.4,109.1,114.1,-5,16.4,2.37,27.5,1.3,9,5.2,11.6,58.5,59.6,13.8,100.31,7,4418
26,Corey Kispert,WAS,23,77,31,46,23.4,113,112.9,0.1,6.4,1.7,12.6,3,8.4,5.8,7.4,56.4,58.6,14.2,98.52,6.7,3712
26,Delon Wright,ATL,30,77,42,35,18.9,111.6,108.8,2.8,17.8,4.18,35.4,3.5,11.6,7.5,8.5,53.5,57.6,10.1,99.19,9.7,2991
26,Grant Williams,BOS,23,77,49,28,24.4,112.5,108,4.5,5.8,1.26,12.8,3.5,10.7,7.2,10.2,59.7,63.5,12.3,98.4,6.7,3832
26,Harrison Barnes,SAC,30,77,27,50,33.6,110,116.7,-6.7,10.3,1.58,14.2,3.1,13.5,8.2,9,55.4,62.3,18.4,101.14,10.5,5446
26,Kentavious Caldwell-Pope,WAS,29,77,34,43,30.2,109.1,113.8,-4.7,9,1.49,12.8,1.8,9.3,5.6,8.6,53.1,56.8,18.5,99.28,8,4816
26,Naz Reid,MIN,22,77,42,35,15.8,105.5,107.9,-2.4,9.1,0.87,10.3,7.4,16.1,11.5,11.8,54.9,58.8,20.9,103.86,10.3,2616
