,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
15,Keegan Murray,SAC,22,80,47,33,29.8,118.8,117.1,1.7,5.3,1.63,10.1,3.8,12.3,8,6.2,58.4,59.7,15.6,101.2,7.3,5028
15,Max Strus,MIA,27,80,42,38,28.4,109.3,113.1,-3.8,11.5,2.48,16.1,2.1,9.7,5.8,6.5,53.5,55.7,17,97.54,7.3,4631
15,Onyeka Okongwu,ATL,22,80,41,39,23.1,114.2,112.4,1.8,6,1,10.9,11.7,19,15.4,10.9,64.2,67.8,15,101.77,11.1,3916
15,Sam Hauser,BOS,25,80,55,25,16.1,114.1,106.4,7.7,7.6,2.37,14.1,2.7,12.1,7.6,6,63.1,63.4,14.1,101.51,8.4,2732
15,Shaedon Sharpe,POR,20,80,32,48,22.2,110.8,118.4,-7.6,7.9,1.13,10.8,3.7,10.2,6.9,9.5,55.1,56.8,18.6,100.99,7.1,3737
15,Tyus Jones,MEM,27,80,51,29,24.2,113.6,111.6,2,28.6,5.64,33.7,1.4,8.4,4.9,6,52.3,54.6,17.5,102.41,11.6,4144
27,Anthony Edwards,MIN,21,79,40,39,36,113.8,111.9,1.9,19.2,1.35,15.1,1.7,13.9,7.9,11.2,52.8,56.4,29.2,101.77,12.5,6016
27,Domantas Sabonis,SAC,27,79,47,32,34.6,120.7,116.8,3.9,29.7,2.49,29.6,9.6,27.5,18.5,11.9,63.2,66.8,21.3,100.46,16.1,5720
27,Evan Mobley,CLE,22,79,48,31,34.4,115.5,109,6.5,12.2,1.53,15.4,7.3,20,13.7,10.1,56.6,59.1,19.9,97.02,12.4,5481
27,Grant Williams,BOS,24,79,55,24,25.9,114.9,109,5.9,8.6,1.6,17.7,4.2,13.4,8.8,11.1,57.5,60.5,12.8,99.67,6.9,4227
27,Jabari Smith Jr.,HOU,20,79,21,58,31,109.1,120.4,-11.3,5.9,0.97,8.5,4.7,18,11.2,8.7,47.5,51.4,18.3,100.35,7.7,5133
27,Jaden McDaniels,MIN,22,79,41,38,30.6,113.6,111.6,2,8.2,1.32,14.3,3.9,8.6,6.3,10.8,59.1,61.1,15.6,101.2,6.9,5080
27,Jonas Valanciunas,NOP,31,79,40,39,24.9,112.8,113.5,-0.7,10.8,0.88,11.5,11.5,29.3,20.4,13.1,57,61,22.9,99.83,14,4101
27,Mason Plumlee,LAC,33,79,28,51,26,111.5,117.4,-5.9,16.6,2.09,24.9,10.5,23.8,16.8,11.9,68,68.9,14.9,102.23,12.7,4368
27,Spencer Dinwiddie,BKN,30,79,41,38,34.5,114.1,114.2,-0.1,29.7,3.55,27.8,1,9.2,5.1,7.8,52.4,57.3,22,96.28,11.3,5465
27,Torrey Craig,PHX,32,79,44,35,24.7,111.9,115.5,-3.7,8,1.6,16.5,7.3,14.6,10.8,10.3,55.6,56.6,12.8,99.62,7.3,4030
27,Trey Murphy III,NOP,23,79,39,40,31,113.3,112.8,0.5,6.3,1.84,10.8,2.5,9.2,5.8,5.9,61,65,15.9,100.62,9.4,5138
38,Bennedict Mathurin,IND,21,78,33,45,28.5,111.5,115.8,-4.3,7.8,0.76,8.2,3.7,10.3,6.9,10.8,48.7,56.6,23.5,103.25,8.7,4792
38,Brook Lopez,MIL,35,78,57,21,30.4,113.7,106.6,7.1,6,0.93,8.4,6.4,13.5,10.1,9.1,60.6,63,18.7,102.83,11.1,5100
38,Daniel Gafford,WAS,24,78,32,46,20.6,111.7,114.3,-2.5,7.4,0.99,13.2,10.3,15.9,13.2,13.3,73.2,73.9,14.6,99.88,11.3,3336
38,Drew Eubanks,POR,26,78,31,47,20.3,113,117.1,-4.1,9.2,1.54,18.4,8.4,18.3,13.3,12,65.1,66.6,12.2,100.32,9.8,3312
38,Georges Niang,PHI,30,78,51,27,19.4,112.5,111.1,1.3,7.4,1.43,11.9,1.3,10.9,6.2,8.3,59.6,61,16.2,100.5,7.2,3180
38,Jarred Vanderbilt,LAL,24,78,43,35,24.1,114.7,116.2,-1.5,13.4,1.9,23.1,9,21.6,15.4,12.2,58,60.4,13.6,101.21,10.5,3946
38,Nicolas Batum,LAC,34,78,44,34,21.9,114.5,110,4.5,9.5,2.42,21.2,3.6,13.5,8.6,8.7,58.3,59.4,11.1,101.32,7.2,3609
38,Reggie Bullock Jr.,DAL,32,78,37,41,30.3,114.7,116.5,-1.8,6.3,3,17.3,1.4,11.2,6.2,5.8,56.9,57.7,9.8,97.23,5.2,4790
46,Cedi Osman,CLE,28,77,48,29,20.1,115.4,108,7.5,10.7,2.21,15.5,1.7,10,5.9,7,56,57.9,17.8,97.56,8.2,3144
46,De'Anthony Melton,PHI,25,77,50,27,27.9,115.5,112.8,2.7,13.3,1.93,19.9,3.4,11.4,7.6,10.3,54.6,56.6,16.2,97.76,7.9,4372
46,Julius Randle,NYK,28,77,44,33,35.5,118.1,115.4,2.7,18.4,1.46,14.5,5,22.6,13.7,9.9,53.6,58.1,28.8,97.83,14.8,5587
46,Malik Monk,SAC,25,77,47,30,22.3,113.8,112.7,1,25.8,2.04,22.5,1.9,9.7,5.9,11,53.8,58.7,24.7,103.61,11.6,3724
46,Naji Marshall,NOP,25,77,40,37,23.3,111.2,111.4,-0.1,14.7,1.95,20.4,2.7,13.2,7.9,10.5,49,53.9,17.2,101.09,8.6,3779
46,Saddiq Bey,ATL,24,77,24,53,27.6,113.9,117,-3.1,8,1.66,10.5,4.4,12.7,8.4,6.3,51.3,56.4,19.4,102.41,9.4,4539
46,Santi Aldama,MEM,22,77,47,30,21.8,112.7,110.2,2.6,7.6,1.62,13,4.7,16.2,10.4,8.1,56,59.1,15.7,102.96,9.3,3607
46,Scottie Barnes,TOR,21,77,38,39,34.8,114.8,111.6,3.2,19.5,2.41,22.5,6.3,13.5,9.7,9.4,48.7,52.4,20,98.71,10.3,5506
46,Zach LaVine,CHI,28,77,38,39,35.9,112,111.7,0.3,18.7,1.69,15.7,1.6,10.8,6.4,9.3,55.8,60.7,27.8,99.7,12.6,5750
55,Chris Boucher,TOR,30,76,39,37,20,110.4,111.6,-1.3,2.9,0.71,4.3,9.4,19,13.8,6.1,55.2,59,17.5,98.49,11.2,3136
55,Christian Braun,DEN,22,76,49,27,15.5,107,111.3,-4.3,7,1.69,14.4,4.2,11.2,7.8,8.5,55.4,56.8,12.7,99.87,6.7,2454
55,Deni Avdija,WAS,22,76,33,43,26.6,113.3,114.1,-0.8,14.2,1.72,21.4,3.8,19.6,12,12.5,49.7,53.5,16.5,99.76,8.4,4192
55,Dwight Powell,DAL,31,76,37,39,19.2,119.4,113.2,6.2,6.7,1.06,14.4,10.6,12,11.3,13.6,73.2,73.8,12.3,97.73,7.8,2961
55,Isaac Okoro,CLE,22,76,48,28,21.7,114.5,109,5.4,7,2.07,16.5,3.3,8.5,6,8,58.2,61.4,11.7,98.32,6,3359
55,Ivica Zubac,LAC,26,76,43,33,28.5,112.8,113.4,-0.6,5,0.66,9.4,11.4,23.8,17.8,14.3,63.4,66.1,14.9,98.37,10.9,4443
55,Jalen Green,HOU,21,76,20,56,34.2,111.2,120,-8.7,16.9,1.41,13.9,1.6,9.3,5.3,9.9,48.5,53.8,27.4,100.64,9.6,5469
55,Josh Giddey,OKC,20,76,34,42,31.1,111.8,114,-2.2,29.3,2.22,25.3,5.8,18.9,12.1,11.4,51.6,53.3,23.9,103.17,13.1,5090
55,Josh Hart,NYK,28,76,42,34,32.3,119.4,113.5,5.9,15.4,2.48,29,6,18.5,12.4,11.7,58.8,62.2,12.4,99.12,10.1,5074
55,Kentavious Caldwell-Pope,DEN,30,76,51,25,31.3,121.4,111.5,9.8,9.2,2.13,19.3,1.6,7.4,4.6,9.1,56.9,59.8,13.6,100.61,6.6,4992
55,Killian Hayes,DET,21,76,16,60,28.3,106.7,117.6,-10.9,32.5,2.72,31.3,1.2,9.2,5.1,11.5,42.6,45.5,20.1,100.24,7.5,4494
55,Nic Claxton,BKN,24,76,41,35,29.9,115.1,111.3,3.7,9.1,1.5,15.5,8.8,21.3,15.5,10.3,70.5,69.1,15.5,98.59,13.4,4640
55,Royce O'Neale,BKN,30,76,42,34,31.7,113.9,111.8,2.1,15.5,2.48,27.7,2.5,12.9,8,11.2,52.4,53.8,13.6,98.52,6.7,4934
55,Shake Milton,PHI,26,76,52,24,20.6,114.1,110.2,3.9,21.3,2.55,27.1,2.6,9.6,6.2,10.6,53.5,57.5,17.5,101.46,9,3319
55,Troy Brown Jr.,LAL,23,76,40,36,24.5,112,112.5,-0.5,6.7,1.94,15.2,3.3,12.3,7.9,7.8,54.5,56.1,11.9,102.11,6.7,3958
70,Alperen Sengun,HOU,20,75,18,57,28.9,112.5,120.3,-7.8,19.9,1.51,20.7,10.7,20.4,15.4,13.7,56.5,59.9,21.1,99.97,12.5,4551
70,Andrew Nembhard,IND,23,75,32,43,27.6,112.3,118.2,-5.9,22.2,2.71,30,1.6,7.8,4.7,11.1,51.2,52.8,15.9,102.78,6.8,4439
70,Bam Adebayo,MIA,25,75,40,35,34.6,113,111.2,1.8,15.4,1.28,13.9,7.3,20.6,13.9,10.9,54.1,59.2,25.1,97.04,14.2,5262
70,CJ McCollum,NOP,31,75,38,37,35.3,114.5,113.5,1.1,24.2,2.34,20.9,2.1,10.4,6.2,8.9,51.5,54.1,26,99.6,11,5497
70,Jalen Williams,OKC,22,75,36,39,30.3,111.6,112.6,-1,15.2,2.02,19.9,3.5,10.9,7.1,9.9,56.7,60.1,18,103.46,10.2,4903
70,Kevin Huerter,SAC,24,75,44,31,29.4,121,116.6,4.5,13.7,2.28,17.9,2,10,6,7.9,60.3,61.7,19.7,100.39,9.1,4614
70,P.J. Tucker,PHI,38,75,48,27,25.6,117.3,113.3,4,4,1.36,17.7,5.5,10.8,8.2,13,54.9,56.6,6.6,96.47,3.2,3851
70,T.J. McConnell,IND,31,75,31,44,20.4,110.5,112.9,-2.4,39,2.78,36.5,2.8,12.3,7.5,13.2,56.8,59,18.2,103.95,13.4,3313
70,Usman Garuba,HOU,21,75,21,54,12.9,103.3,115.5,-12.2,9.6,1.36,20.7,11,19.4,14.9,15.2,55.4,56.9,9.9,102.41,7.9,2070
79,Caris LeVert,CLE,28,74,45,29,30.2,113,108.5,4.5,18.2,2.47,23.5,2.4,10.5,6.5,9.5,51.7,54.6,18.3,97.56,8.9,4543
79,Coby White,CHI,23,74,37,37,23.4,114,110.1,4,15.9,2.76,22.7,0.9,11,6.1,8.2,55.1,57.2,17,100.99,8.8,3640
79,Corey Kispert,WAS,24,74,31,43,28.3,112.4,115.6,-3.2,5.6,1.58,11.4,1.6,8.2,5,7.2,63.7,65.7,13.9,100.22,7.3,4377
79,Damion Lee,PHX,30,74,40,34,20.4,110.1,107.3,2.7,9.2,1.27,14.8,2.4,12.4,7.2,11.6,56.4,60.7,15.5,101.13,8.4,3170
79,DeMar DeRozan,CHI,33,74,37,37,36.2,112.2,110.7,1.5,22.2,2.46,18.5,1.3,11.6,6.6,7.5,52.2,59.2,27.2,99.82,13.8,5569
79,Dejounte Murray,ATL,26,74,38,36,36.4,114.3,115.4,-1.1,23.9,2.8,22.4,1.9,12.7,7.1,8,51.4,54,23.9,101.67,12,5705
79,Jaden Ivey,DET,21,74,16,58,31.1,107.1,120.1,-13,26.9,1.63,21.9,3,9.4,6.2,13.4,47.7,52.8,25.1,100.5,8.1,4818
79,Jayson Tatum,BOS,25,74,52,22,36.9,119.2,110.8,8.5,20.5,1.61,14.5,2.9,20,11.7,9,54.3,60.7,31.9,99.76,16.7,5674
79,Joe Harris,BKN,31,74,40,34,20.6,112.1,113.2,-1,9.1,2.46,17.1,1.6,8.9,5.4,6.9,61.8,62.1,14.1,100.26,6.7,3194
79,Luguentz Dort,OKC,24,74,36,38,30.7,115,114.1,0.9,9,1.67,12.5,5.3,9.2,7.2,7.5,46.6,51.3,19.4,102.98,6.2,4870
79,Tobias Harris,PHI,30,74,47,27,32.9,117.2,111.7,5.5,11.4,2.09,15.9,3,15,9.2,7.6,57.5,60.2,18,96.53,10.5,4910
79,Trey Lyles,SAC,27,74,43,31,16.9,116.3,112.3,4,7.3,1.03,11.1,5.4,18.4,12,10.8,56.5,60.7,17.4,102.64,9.9,2666
79,Walker Kessler,UTA,21,74,34,40,23,115.7,112.7,3,5.7,1.19,11.4,13.3,20.5,17,9.6,72.1,70.2,13,101.47,12.8,3585
92,Aaron Nesmith,IND,23,73,30,43,24.9,113.8,118.5,-4.7,7.3,1.31,11.9,3.3,11.9,7.6,9.1,52.5,56.6,16.8,102.4,5.9,3863
92,De'Aaron Fox,SAC,25,73,44,29,33.4,119.9,116.8,3.1,28.1,2.47,20.8,1.7,11.1,6.4,8.4,55.7,59.9,28.8,103.08,13.7,5235
92,Devonte' Graham,SAS,28,73,31,42,18.3,107.5,113.7,-6.2,20.7,3.7,26.6,1.3,8.1,4.5,7.2,51.2,55.2,16.5,102.17,8.3,2857
92,Dillon Brooks,MEM,27,73,46,27,30.3,113.4,108.5,4.9,11.7,1.82,14.1,1.9,8.4,5.1,7.7,46.8,49.4,21.4,101.92,6,4690
92,Draymond Green,GSW,33,73,41,32,31.5,116.2,109.2,7,26.8,2.45,40.8,2.9,18.5,11,16.7,57,59.2,12.9,104.05,10,4979
92,Isaiah Joe,OKC,23,73,36,37,19.1,117.3,112.2,5.1,8.7,2.26,13.1,1.8,10.8,6.2,5.8,59.9,62.6,17,103.42,9.3,3033
92,P.J. Washington,CHA,24,73,24,49,32.6,107.5,114.8,-7.2,10.7,1.59,13.1,2.8,11.8,7.1,8.2,52,54.2,20,103.2,8.3,5114
92,RJ Barrett,NYK,23,73,40,33,33.9,115.3,116.5,-1.2,12.4,1.23,11.7,2.3,12.1,7.1,9.6,48.5,53.1,25.6,98.88,8.7,5100
92,Russell Westbrook,LAC,34,73,36,37,29.1,114.1,114.3,-0.2,36.4,2.16,28.5,4.2,14.7,9.6,13.2,48.1,51.3,26.6,104.59,11.5,4626
92,Trae Young,ATL,24,73,38,35,34.8,115.9,114.6,1.3,41.4,2.47,27.4,2.1,6.2,4.2,11.1,48.5,57.3,31.3,104.39,14.3,5537
102,AJ Griffin,ATL,19,72,34,38,19.5,113.6,112,1.5,7,1.74,10.9,2.6,8,5.3,6.3,56,57.7,17.4,102.67,7.7,3005
102,Donte DiVincenzo,GSW,26,72,42,30,26.3,113.5,110.6,2.9,17.6,2.25,27,4.1,12.3,8.2,12,57.4,59.3,14.6,104.2,9.2,4115
102,Grayson Allen,MIL,27,72,53,19,27.4,113.9,109.1,4.9,10.7,2.26,19.4,3,8.2,5.7,8.6,57.1,61.2,14.3,102.56,7.8,4224
102,Jakob Poeltl,TOR,27,72,26,46,26.5,112.4,115.5,-3.1,14.6,1.58,19.2,11.7,24,17.4,12.2,62.9,63.5,18,100.54,13,3983
102,John Konchar,MEM,27,72,45,27,20.7,114.6,107.5,7,8.2,2.7,21.3,4,15.2,9.6,7.9,52.5,54.2,10,102.79,7.9,3192
102,Josh Okogie,PHX,24,72,38,34,18.8,112.9,108,4.9,10.4,1.67,15.6,7.8,10.2,9,9.3,47.1,53.1,17.4,100.74,7.8,2820
102,Paolo Banchero,ORL,20,72,31,41,33.7,111.1,115.3,-4.2,17.1,1.35,14.7,3.5,17.4,10.4,10.9,46.5,52.9,27.2,100.66,10.8,5095
109,Caleb Martin,MIA,27,71,38,33,29.3,110.7,110.7,0,8.2,1.48,14.7,4.4,13,8.6,9.9,54,57.1,14.3,97.87,7.8,4232
109,D'Angelo Russell,LAL,27,71,39,32,32.5,113.6,112.1,1.5,27.4,2.35,26.3,1.6,7.5,4.7,11.2,57.2,60.5,22.5,101.24,11.5,4864
109,John Collins,ATL,25,71,37,34,30,115,115.2,-0.2,5.2,1.08,9,3.5,18,10.7,8.3,55.7,59.3,16.8,102.6,8.6,4547
109,Matisse Thybulle,POR,26,71,38,33,16.9,109.9,110.3,-0.5,5.9,2.21,15.5,3.2,8.5,5.8,7,54.2,55.2,10.2,101.68,5.5,2542
109,Pascal Siakam,TOR,29,71,35,36,37.4,115.6,113.3,2.4,24.4,2.46,19.7,4.7,17.7,10.7,8,51.5,56.5,27,98.17,13.5,5422
109,Quentin Grimes,NYK,23,71,41,30,29.9,118.6,114.2,4.4,9.6,2.17,17.4,2.2,8.5,5.3,8,59.9,61.9,14.2,97.97,7,4328
109,Tim Hardaway Jr.,DAL,31,71,37,34,30.3,117.9,114.5,3.4,8.8,2.15,11.7,1,10.8,6,5.5,52.7,55.4,20.1,97.41,8.1,4373
116,Aaron Wiggins,OKC,24,70,37,33,18.5,112.7,111.2,1.5,8.4,1.43,15.1,5,10.9,7.9,10.6,57.9,60.7,14.3,102.4,7.7,2754
116,Bobby Portis,MIL,28,70,47,23,26,111.8,112,-0.1,8.7,1.3,10,8,26.3,17.2,7.8,55.5,57.5,21.1,102.34,13.8,3887
116,Bol Bol,ORL,23,70,26,44,21.5,107.6,112,-4.4,6.9,0.62,9.8,4.6,22,13.4,15.9,57.7,60.3,17.7,100.95,11.4,3163
116,David Roddy,MEM,22,70,44,26,18,110.6,112.5,-1.9,6.4,1.04,10.4,3.7,10.7,7.1,10.1,50.6,51.9,16.3,102.6,5.6,2686
116,Jalen Johnson,ATL,21,70,35,35,14.9,111.1,110.8,0.3,10.6,2.02,17.3,4.7,21.4,13.1,8.6,53.7,55.4,15.6,103.32,9.9,2234
116,Kendrick Nunn,WAS,27,70,30,40,13.8,110.3,112.6,-2.3,13.7,1.36,14.5,1.5,9,5.4,10.6,51.2,53,22.7,104.1,7.6,2087
116,Rudy Gobert,MIN,31,70,34,36,30.7,110.8,110.3,0.4,5.8,0.71,9.6,11.1,26,18.8,13.5,65.9,67.5,16.1,100.29,13.7,4477
123,Darius Garland,CLE,23,69,40,29,35.5,116.9,108.8,8,32.8,2.7,26.9,1.2,6.7,4,9.9,53.7,58.7,26.2,97.1,13,4968
123,Eric Gordon,LAC,34,69,25,44,28.5,110.6,116.4,-5.8,13.3,1.76,18.2,0.8,5.9,3.3,10.3,54.7,58.7,17.1,102.17,7.8,4198
123,Fred VanVleet,TOR,29,69,34,35,36.7,116.1,112.8,3.3,27.6,3.54,26.7,1.1,11,5.6,7.5,48.6,54,22.5,98.23,11.3,5199
123,JT Thor,CHA,20,69,22,47,14,102.7,110.2,-7.5,5.4,0.82,10.6,3.5,11.5,7.5,13,48.1,50.6,13,102.44,5.1,2064
123,Jock Landale,PHX,27,69,35,34,14.2,113,105.1,7.9,10.1,1.15,13.4,11.4,16.4,13.8,11.6,55.9,59.5,18.2,102.03,10.6,2069
123,Klay Thompson,GSW,33,69,38,31,33,115.4,112.6,2.9,10.5,1.33,10.2,1.7,10.1,6,7.7,55.6,57.6,25.6,103.95,10,4945
123,Kyle Anderson,MIN,29,69,36,33,28.4,113.9,111.7,2.3,22.5,3.25,33.8,3.5,15.2,9.5,10.4,55.3,58.3,14.3,101.66,10.8,4143
123,Luke Kornet,BOS,27,69,45,24,11.7,111.8,107.9,3.9,9.3,2.12,20,10.6,12.5,11.6,9.4,67.4,69.7,11.1,101.15,9.9,1692
123,Nikola Jokic,DEN,28,69,48,21,33.7,124.2,111.6,12.5,41.2,2.74,32.1,8,28.3,18.6,11.7,66,70.1,26.3,100.42,21.1,4873
123,Paul Reed,PHI,24,69,44,25,10.9,111,111.5,-0.4,5.1,0.6,8.9,14.7,20.7,17.6,14.9,59.6,62,15.2,100.08,10.6,1570
133,Aaron Gordon,DEN,27,68,45,23,30.2,123,110.9,12.1,12.9,2.07,16.9,8.6,13.6,11.2,8.2,60.3,61.7,20.6,100.16,11.2,4288
133,Donovan Mitchell,CLE,26,68,44,24,35.8,116.3,110.4,5.9,20.5,1.67,14.9,2.7,9.7,6.2,8.9,57.2,61.4,31,96.89,14.9,4932
133,Gabe Vincent,MIA,27,68,37,31,25.9,111,111.7,-0.7,13.9,1.82,19.5,1.6,7.1,4.3,10.7,50.5,53.3,17,98.16,5.8,3595
133,Jalen Brunson,NYK,26,68,40,28,35,119.2,117.1,2.1,28,2.96,22,1.6,8.5,5,7.4,54.7,59.7,26.6,97.64,13.8,4860
133,Jalen Smith,IND,23,68,31,37,18.8,111.4,115.3,-3.8,7.6,0.92,9.4,9.3,20.1,14.6,10.2,53,56.5,20.1,103.54,9.9,2763
133,Jarrett Allen,CLE,25,68,44,24,32.6,116.5,108.8,7.7,7.3,1.22,12.1,10.7,21,15.9,10,64.5,67,16.2,96.62,13.4,4469
133,Kelly Olynyk,UTA,32,68,28,40,28.6,116.4,116,0.4,17.3,1.5,23.4,4.2,16.4,10.5,15.6,58.3,64.3,17.6,100.9,10,4080
133,Naz Reid,MIN,23,68,32,36,18.4,109.2,113.3,-4.2,9.8,0.84,9.6,5.8,20.5,13.2,11.5,60.2,61.7,24.2,104.39,12.2,2714
133,Reggie Jackson,DEN,33,68,36,32,24.4,109.5,111.7,-2.2,21.1,2.03,22.9,1.5,7.1,4.3,11.3,48.6,51.4,20.5,98.47,7.3,3397
133,Shai Gilgeous-Alexander,OKC,24,68,33,35,35.5,116.1,113.3,2.7,24.9,1.93,16.4,2.3,10.9,6.5,8.5,53.1,62.6,31.8,103.47,17.5,5211
133,Tre Jones,SAS,23,68,20,48,29.2,110.9,118.8,-7.8,30.6,4.07,32.7,2.6,9.9,6.1,8,48.9,53.4,18.9,102.8,11.1,4252
133,Wenyen Gabriel,LAL,26,68,37,31,15.1,111.2,111.4,-0.2,4.9,0.78,9.6,11.1,15.2,13.2,12.3,61.5,62.6,13.5,103.95,8.2,2205
145,Alex Caruso,CHI,29,67,33,34,23.5,112.6,106.5,6.1,15.5,2.51,32.8,2.8,9.9,6.5,13.1,55.1,58.8,10.9,99.79,7.1,3275
145,Andre Drummond,CHI,29,67,32,35,12.7,108.7,106,2.6,5.7,0.44,7.6,16,35.3,25.6,17.2,60.6,60.6,19.6,101.72,15.6,1789
145,Christian Wood,DAL,27,67,33,34,25.9,115.4,116.7,-1.3,11.9,1,10.7,5.3,23.8,14.7,10.7,58.3,62.4,25.9,97.15,14.4,3519
145,De'Andre Hunter,ATL,25,67,35,32,31.7,114.9,115.5,-0.6,5.9,1.15,8.6,2.1,11.2,6.6,7.5,52.2,56.3,19.3,102.79,6.9,4556
145,Deandre Ayton,PHX,24,67,36,31,30.4,113.2,113.2,0,9,0.96,9.5,8.4,24.7,16.4,9.9,59.2,61.7,23.1,98.63,14.5,4178
145,Jalen Duren,DET,19,67,16,51,24.9,108,116.2,-8.3,6.9,0.82,11.8,13,22.1,17.4,14.5,64.8,65.5,13.9,100.27,11.6,3493
145,Jaylen Brown,BOS,26,67,46,21,35.9,116.6,111.2,5.4,16.3,1.18,11.9,3.2,15.2,9.3,10.1,55,58.1,30.7,100.51,13.2,5030
145,Jonathan Kuminga,GSW,20,67,38,29,20.8,111.7,113,-1.4,13.2,1.32,16.1,5.2,11.3,8.3,12.2,57.9,59.7,19.5,103.18,8.5,2992
145,Jrue Holiday,MIL,33,67,50,17,32.6,117,107.9,9.2,32.1,2.51,27.6,3.5,10.7,7.3,11,55.6,58.6,24.4,102.82,13.5,4698
145,Keita Bates-Diop,SAS,27,67,18,49,21.7,108.1,116.6,-8.5,9.9,1.84,15,4.2,13,8.4,8.2,56.8,60.9,16.5,103.18,9.9,3122
145,Malcolm Brogdon,BOS,30,67,46,21,26,114.4,109.3,5.1,22.3,2.53,21.4,2.4,13.2,7.9,8.4,57.4,61.5,22.3,99.91,13.3,3628
145,Mike Conley,MIN,35,67,34,33,30.3,117.3,116.1,1.3,29.5,4.37,36.6,1.6,7.5,4.5,8.4,53.9,58.3,16.1,100.09,9.9,4232
145,OG Anunoby,TOR,25,67,33,34,35.6,114.4,111.4,3,8,0.99,10.7,3.7,11,7,10.8,55.6,58.6,19.2,98.34,8.7,4881
145,Obi Toppin,NYK,25,67,37,30,15.7,112.8,110.4,2.4,9.1,1.74,12.1,2.6,13.9,8.3,7,54.8,56.5,18.7,101.35,9.5,2220
