,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Mikal Bridges,BKN,26,83,42,41,35.7,114,113.2,0.8,14.1,2.15,15.1,2.6,9.4,6,7,53.5,58.7,22.3,98.56,11.2,6079
2,Derrick White,BOS,28,82,57,25,28.3,118.2,107.2,11,19.1,3.38,25.6,2.3,9.8,6.2,7.6,56,60.4,17.4,99.87,10,4807
2,Harrison Barnes,SAC,31,82,48,34,32.5,120,115.2,4.8,6.3,1.49,10.8,3.4,10.7,7,7.2,55.6,63.2,16.8,101.7,8.8,5634
2,Isaiah Hartenstein,NYK,25,82,47,35,19.9,114.6,110.2,4.4,8.3,1.55,19.5,12.2,19.2,15.7,12.6,54.7,56.7,10.7,100.25,8.7,3401
2,Jordan Poole,GSW,24,82,44,38,30,111,111.8,-0.8,23.4,1.46,17.8,1.3,7.3,4.3,12.2,51.4,57.3,28.2,104.15,10.4,5348
2,KJ Martin,HOU,22,82,22,60,28,110.6,118.7,-8,7.9,1.35,11.9,5.2,14.3,9.6,8.8,61.7,63.5,16,101.53,10.2,4858
2,Kevon Looney,GSW,27,82,44,38,23.9,116.4,112,4.4,13.6,4.6,29.4,13.5,23.4,18.5,6.4,63,63.9,10.4,102.64,11.6,4174
2,Nikola Vucevic,CHI,32,82,40,42,33.5,112.3,112.8,-0.5,14.6,1.91,16.4,6.2,27.4,17.2,8.6,57.3,59.4,21.8,99.31,14.3,5686
2,Patrick Williams,CHI,21,82,40,42,28.3,110.7,113.2,-2.4,5.9,0.99,10.8,3.6,10.7,7.2,10.9,54.9,57.6,15.6,100.05,6.9,4831
2,Tari Eason,HOU,22,82,22,60,21.6,108.6,113.4,-4.8,7.5,0.87,9.7,10.1,17.2,13.4,11.1,49.3,52.5,18.4,101.96,9.5,3765
11,Immanuel Quickley,NYK,24,81,47,34,28.9,114.3,108.1,6.2,17.8,2.79,19.8,2.4,11,6.8,7.1,53.7,57.8,20.3,98.08,11.8,4799
11,Jevon Carter,MIL,27,81,57,24,22.4,109.2,107.2,1.9,15,2.53,23.1,1.8,8.4,5.2,9.1,54.9,56,14.9,102.73,7.3,3872
11,Malik Beasley,LAL,26,81,45,36,25.8,112.4,114.6,-2.2,8.6,1.38,10.6,1.6,11.6,6.6,7.7,52,53.1,20.7,102.18,7.9,4461
11,Terance Mann,LAC,26,81,44,37,23.1,113.7,113.5,0.3,13.9,2.3,21.9,4.2,10.7,7.4,9.5,59.3,61.9,14.9,99.03,8.7,3859
15,Ayo Dosunmu,CHI,23,80,40,40,26.2,108.8,110.1,-1.3,13.5,2.08,22.6,2.2,8.1,5.2,10.9,54.5,56.7,14.5,100.78,6.5,4395
15,Bruce Brown,DEN,26,80,53,27,28.5,113.8,113,0.8,16.4,2.18,22.4,2.9,11.6,7.4,10.3,54.5,57.1,17.4,99.19,9,4708
15,Buddy Hield,IND,30,80,35,45,31,114.4,116.3,-1.9,13.1,1.62,15.6,2.7,13.2,7.9,9.7,59.6,61.4,20.5,102.05,10.4,5284
15,Davion Mitchell,SAC,24,80,47,33,18.1,114.4,111.8,2.7,17.3,2.98,28.2,1.2,6.2,3.7,9.4,53.3,54.5,14,102.04,6.1,3040
15,Franz Wagner,ORL,21,80,33,47,32.6,111.3,110.1,1.2,16.7,1.69,16.6,2.7,9.8,6.3,9.8,54.3,58.9,23,101.14,11,5491
15,Jalen McDaniels,PHI,25,80,31,49,23.9,110.5,113.9,-3.4,9.4,1.4,14.5,3.1,14.5,8.7,10.4,51.8,55.7,16.5,102.48,8,4079
