,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Buddy Hield,PHI,31,84,46,38,25.7,116.9,115.7,1.1,14.3,2.29,19.5,2.7,9.8,6.2,8.5,56.5,57.8,18.6,101.65,8.3,4579
2,Austin Reaves,LAL,25,82,47,35,32.1,114.6,115.6,-1,23.7,2.59,26.9,2.3,10.7,6.7,10.4,56.8,61.3,19.8,101.93,10.5,5590
2,Bobby Portis,MIL,29,82,49,33,24.5,115.9,116,-0.1,7.8,1.14,8.9,7.1,22.8,15,7.8,56.2,58.1,22.4,100.49,12.2,4204
2,Cason Wallace,OKC,20,82,57,25,20.6,113.9,110,3.9,9.2,2.67,19.2,3.2,7.7,5.6,7.2,60.2,61.2,12.7,101.56,7.1,3574
2,Chet Holmgren,OKC,21,82,57,25,29.4,118.2,109.2,9,11.2,1.53,14.3,5.6,19.8,13.2,9.3,59.8,63.2,21,102.8,13.3,5150
2,Christian Braun,DEN,23,82,57,25,20.2,110,109.3,0.7,10.9,2.4,18.1,4.6,12.6,8.7,7.5,52.5,55.4,15.2,98.91,8.4,3394
2,Domantas Sabonis,SAC,27,82,46,36,35.7,116,115.2,0.8,33.4,2.47,30.8,9.7,29.5,19.2,12.4,60.9,63.7,22,99.63,16.9,6086
2,Georges Niang,CLE,30,82,48,34,22.3,114.4,113.9,0.6,7.5,1.36,11.9,1.2,13.8,7.6,8.7,56.7,58.3,17.3,98.61,6.9,3766
2,Harrison Barnes,SAC,31,82,46,36,29,114.1,115.7,-1.7,5.6,1.71,10.3,2.7,7.9,5.2,6,57.6,61.1,15.4,100.69,7.3,4996
2,Jalen Green,HOU,22,82,41,41,31.7,113.8,113.8,0,17,1.52,14.8,1.5,14.3,7.8,9.7,49.8,54.1,27,100.26,11.1,5448
2,Jonas Valanciunas,NOP,31,82,49,33,23.5,117.3,113.4,3.9,12.8,1.56,15.8,10,27.2,18.9,10.1,58.5,61.9,20.7,98.68,13.5,3959
2,Mikal Bridges,BKN,27,82,32,50,34.8,111,114.3,-3.3,16.3,1.82,15.9,2.2,10.5,6.3,8.7,52.1,56,23.8,98.35,10.5,5852
2,Nickeil Alexander-Walker,MIN,25,82,56,26,23.4,113.1,105.5,7.6,14.5,2.68,24.1,1.9,6.6,4.3,9,56,57.8,14.3,99.98,7.1,4005
2,Obi Toppin,IND,26,82,47,35,21.1,120.2,116.6,3.6,9.1,1.86,15.7,4.9,13.7,9.3,8.4,66.1,67.7,16,104.97,10.1,3786
2,Paul Reed,PHI,24,82,47,35,19.4,116.3,112,4.2,9.5,1.63,15.8,11.7,19.4,15.4,9.7,56.1,58,15.6,97.81,10.4,3221
2,Payton Pritchard,BOS,26,82,64,18,22.3,122.8,109.2,13.6,20.8,4.61,28,3.8,10.3,7.1,6.1,58.3,59.7,16.8,97.16,10.3,3673
2,Reggie Jackson,DEN,34,82,57,25,22.2,112,110.6,1.4,24,2.91,25.4,1.8,6.3,4.1,8.7,49.9,52.1,20.9,99.58,8.1,3780
18,Cole Anthony,ORL,23,81,47,34,22.4,112.6,110,2.6,20,1.87,19.4,3.6,14,8.8,10.3,49.6,54.5,23.2,97.46,10.9,3696
18,Donte DiVincenzo,NYK,27,81,50,31,29.1,117.9,114.2,3.7,13.3,1.91,15.7,2.6,10.2,6.3,8.2,58.4,59.7,20.9,97.11,9.8,4770
18,Josh Hart,NYK,29,81,49,32,33.4,117.2,110.6,6.6,16.4,2.81,28.1,4.6,20.5,12.3,10,49.3,52.2,13.3,95.77,10,5397
18,Michael Porter Jr.,DEN,25,81,57,24,31.7,120.2,112.1,8.1,6.4,1.33,9.1,4.2,17.7,11.1,6.9,58.6,60.1,20.2,97.81,10.6,5247
18,Naz Reid,MIN,24,81,56,25,24.2,111.1,105.5,5.7,8.5,0.95,9.4,3.8,17,10.6,9.8,57.6,59.5,22.3,99.83,11.5,4092
