,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Maxi Kleber,DAL,28,74,42,32,25.5,112.6,109.2,3.4,6.5,1.52,12.6,5.4,13.6,9.5,8.3,57.7,60.5,13.4,101.5,8.2,3982
2,Delon Wright,DAL,28,73,42,31,21.5,111.2,109.5,1.7,21.5,3.34,31.6,4,12.4,8.2,9.4,51.9,55.4,14,101.55,10.6,3312
2,Dillon Brooks,MEM,24,73,34,39,28.9,108.5,108.9,-0.3,10.4,1.21,10.6,3,7.6,5.4,8.7,47.6,51,24.7,103.55,6.2,4544
2,Duncan Robinson,MIA,26,73,44,29,29.7,113.8,106.2,7.5,6.8,1.46,11.6,0.5,9.9,5.4,7.9,66.7,68.4,15.7,99.23,8.2,4483
2,Justin Holiday,IND,31,73,45,28,25,107.7,106.4,1.3,6.8,2.11,14.3,1.7,10.4,6.2,6.7,56.6,58.5,13,102.37,7.6,3886
2,Mikal Bridges,PHX,23,73,34,39,28,111,108.1,2.9,8.6,1.77,17.4,3.2,10.7,7,9.9,58.3,62,12.5,103.12,8.2,4382
2,Monte Morris,DEN,25,73,46,27,22.4,110.2,109.3,0.8,21.9,4.81,28.1,1.4,6.7,4,5.8,51.7,54.5,16.8,100.03,9.9,3422
2,Nikola Jokic,DEN,25,73,46,27,32,113.4,108.9,4.5,35,2.27,26.4,7.3,23.7,15.5,11.6,56.5,60.5,26.6,96.9,17.9,4733
9,Bam Adebayo,MIA,22,72,44,28,33.6,112.6,107.7,5,23.8,1.8,24,7.7,22.4,15.3,13.3,55.8,59.8,21.2,98.36,14.7,4952
9,Buddy Hield,SAC,27,72,31,41,30.8,108.9,111.9,-3.1,15.3,1.27,13.4,2.5,12.4,7.4,10.6,54.5,56.6,26.3,100.92,10.4,4676
9,Cory Joseph,SAC,28,72,31,41,24.4,107.3,107.6,-0.3,19.9,3.14,32.5,2.4,8.2,5.3,10.3,48.3,51.7,12.7,99.76,7,3641
9,Furkan Korkmaz,PHI,22,72,42,30,21.7,109.3,106.6,2.7,7.3,1.34,10.6,1.1,9.3,5.2,7.9,55.7,57.9,17.7,102.27,7.8,3322
9,Harrison Barnes,SAC,28,72,31,41,34.5,108.9,111.4,-2.5,9.2,1.81,13.7,3,11.1,7,7.6,52.5,57.4,17.2,100.86,9,5217
9,Ivica Zubac,LAC,23,72,49,23,18.4,113,104.1,8.9,9.1,1.34,13.6,14,24,19.1,10.1,61.3,65.1,16.3,101.14,14.3,2786
9,Joe Ingles,UTA,32,72,44,28,29.7,110.8,105.6,5.1,24.4,2.63,33.6,1.3,11.2,6.4,12.8,57.2,59.5,14.8,100.34,9.6,4470
9,Markelle Fultz,ORL,22,72,33,39,27.7,108.8,110.5,-1.7,27.3,2.51,27.2,2,10,5.8,10.8,48.8,51.7,21,100.44,9.5,4182
9,Nemanja Bjelica,SAC,32,72,31,41,27.9,110,111.1,-1,14.1,2.05,20.5,5.4,17.7,11.5,10,58.3,60.2,16.7,99.44,10.3,4188
9,P.J. Tucker,HOU,35,72,44,28,34.3,111.9,108.9,3,6.1,1.6,18.1,4.2,13.7,8.9,11.3,54.1,55.9,8.7,103.47,5.7,5316
9,Terence Davis,TOR,23,72,53,19,16.8,111.8,103.9,7.9,14,1.51,17.7,3.9,13.7,9,11.7,56.4,58.8,18.1,102.12,10.1,2571
9,Tobias Harris,PHI,27,72,43,29,34.3,110.3,107.2,3.1,14.5,2.18,14.3,2.7,17.2,9.9,6.5,52.7,55.6,23.6,99.23,12.6,5105
21,Ben McLemore,HOU,27,71,44,27,22.8,114.2,109.2,5,5,1.16,8.5,1.2,7.9,4.5,7.3,61,62.2,15.7,105.17,6.6,3552
21,Brad Wanamaker,BOS,30,71,48,23,19.3,110.3,105.2,5,18.1,2.36,26.3,1.6,8.2,5,11.2,49.9,57.7,15.2,101.46,8.6,2888
21,Dorian Finney-Smith,DAL,27,71,40,31,29.9,116.1,109.5,6.5,7.3,1.65,15.1,6.6,11.3,9,9.2,57.5,59.5,12.8,100.14,7.2,4416
21,Jerami Grant,DEN,26,71,45,26,26.6,110.3,112.3,-2.1,6.8,1.4,10.2,3.1,9.9,6.5,7.3,55.5,59.1,17.7,99.03,8.3,3901
21,Jordan Clarkson,UTA,28,71,34,37,24,110.5,111,-0.5,13,1.4,11.7,2.8,7.8,5.3,8.4,54.2,57.4,25.4,99.87,10.5,3552
21,Royce O'Neale,UTA,27,71,44,27,28.9,112.5,107.3,5.2,11.6,2.95,28.6,1.4,16.5,9.4,9.7,55.9,57.8,9.5,100.05,7.4,4269
21,T.J. McConnell,IND,28,71,44,27,18.7,108.3,107.1,1.1,35.4,3.55,40.2,2.8,10.7,6.9,11.3,52.2,54,16.7,103.07,12.2,2857
21,Tim Hardaway Jr.,DAL,28,71,41,30,29.5,116,110.1,5.9,9.6,1.99,11.8,1.1,9,5.1,5.9,55,58.1,20.4,101.86,8.9,4451
29,Anfernee Simons,POR,21,70,32,38,20.7,105.9,113.4,-7.6,9.8,1.59,13.2,1.5,8,4.7,8.3,46.9,50.2,18,103.09,5.5,3106
29,CJ McCollum,POR,28,70,34,36,36.5,114.1,113.6,0.5,18.5,2.44,16.6,1.7,9,5.4,6.8,52.2,54.1,25.7,101.47,10.3,5398
29,Chris Paul,OKC,35,70,44,26,31.5,114,107.1,6.9,32.4,2.93,28.7,1.2,14.3,8,9.8,55.2,61,22.8,100.43,15.3,4624
29,Devin Booker,PHX,23,70,34,36,35.9,114.9,112.2,2.7,28.8,1.73,20.5,1.2,10.6,5.9,11.9,54.4,61.8,29.4,102.36,13.8,5350
29,Jarrett Allen,BKN,22,70,33,37,26.5,110.6,109.6,0.9,8.6,1.43,14.3,10.8,22.6,16.7,10,64.9,66.4,14.8,101.55,13.9,3922
29,Jonas Valanciunas,MEM,28,70,32,38,26.4,107.5,107.3,0.3,10.9,1.03,12.1,11,27.9,19.7,11.7,60.6,63.1,21.1,103.42,16.3,3973
29,Robert Covington,HOU,29,70,27,43,30.5,109.8,108.8,0.9,5.9,0.85,9.1,2.7,18,10.2,10.7,53.3,55.9,16.9,103.74,9,4614
29,Shai Gilgeous-Alexander,OKC,21,70,43,27,34.7,112.7,109.2,3.5,14.8,1.73,15.1,2,14.6,8.5,8.7,51.4,56.8,23.5,99.6,12.3,5028
37,Donovan Mitchell,UTA,23,69,43,26,34.3,111.2,108.6,2.6,21.4,1.6,15,2.3,10.1,6.4,9.4,51.3,55.8,30.3,100.47,12.5,4941
37,Doug McDermott,IND,28,69,43,26,19.9,108.7,105.5,3.2,8.1,1.86,11.4,1.8,9.8,5.9,6.1,60.5,62,18.6,102.43,9.3,2933
37,Dwight Howard,LAL,34,69,52,17,18.9,112.3,106.4,5.9,4.8,0.54,9,12.8,25.7,19.1,16.8,73.5,69.6,14.6,99.5,11.4,2707
37,Grant Williams,BOS,21,69,47,22,15.1,109.9,103.5,6.3,8.5,1.36,19.3,5.3,10.6,7.9,14.2,46.9,50.5,11.2,102.84,3.8,2230
37,James Ennis III,ORL,29,69,42,27,18.3,110.3,110.2,0.1,6.7,1.09,12,5.5,13.7,9.6,11.1,52.2,56.5,15.1,102.21,6.8,2693
37,Joe Harris,BKN,28,69,33,36,30.8,110.8,109.9,0.9,10,1.38,13.5,2.8,10.2,6.5,9.7,59.6,60.6,17.9,102.23,8.8,4543
37,Kentavious Caldwell-Pope,LAL,27,69,51,18,25.5,110.6,107.2,3.5,8.5,1.79,15.4,2.1,5.6,3.8,8.6,55.8,58.4,14.2,102.42,6.5,3771
37,OG Anunoby,TOR,22,69,50,19,29.9,110.3,104.2,6.2,7.4,1.37,13.6,3.8,12.9,8.5,9.9,58.4,60,14.2,101.93,8.6,4388
37,Semi Ojeleye,BOS,25,69,46,23,14.6,104.6,106.1,-1.5,5.1,1.95,14,2.4,10.9,6.6,7.2,53.1,56.2,9.4,100.36,5.7,2113
37,Terrence Ross,ORL,29,69,31,38,27.4,105.5,108,-2.5,7.2,1.17,7.7,0.6,10.8,5.4,6.6,50.8,54.8,21.6,100.51,9.5,3969
37,Troy Brown Jr.,WAS,20,69,24,45,25.8,108.2,113.7,-5.5,14.2,2.25,19,4,17.1,10.3,8.4,48.8,52.4,17.4,104.54,10,3875
48,Austin Rivers,HOU,27,68,43,25,23.4,112.9,110.4,2.6,9.8,2.26,15.9,1.6,8.9,5.1,7,51.7,54.2,15.3,105.87,6.3,3512
48,Brook Lopez,MIL,32,68,53,15,26.7,112.2,100.1,12,7.3,1.41,10.9,3.1,11.8,7.7,7.7,51.1,55.1,18.1,106.6,8.8,4054
48,Danny Green,LAL,33,68,51,17,24.8,112.4,106,6.4,6.9,1.44,14.1,3,10,6.5,9.7,54.2,55.2,13.5,102.7,6.5,3620
48,DeMar DeRozan,SAS,30,68,31,37,34.1,111.8,113.7,-1.8,26.1,2.32,21.3,1.9,13.9,8,9.2,53.5,60.3,26.2,100.87,14,4855
48,Derrick White,SAS,25,68,32,36,24.7,110.1,109.2,1,20.3,2.71,24.8,2,10.5,6.4,9.2,53,59.3,18.3,103.36,10.2,3614
48,Ish Smith,WAS,31,68,23,45,26.3,109.2,113.1,-3.9,26.6,3.52,28.9,1.5,10.3,5.7,8.2,49.2,50.9,18.6,104.48,10,3895
48,JaVale McGee,LAL,32,68,51,17,16.6,111.5,105.7,5.8,4.4,0.67,8.6,11.1,21.8,16.6,12.8,64.2,65.2,14.5,101.9,11.3,2395
48,James Harden,HOU,30,68,43,25,36.5,114,108.2,5.8,36.6,1.66,19.4,2.6,13.9,8.3,11.6,54.3,62.6,35.6,103.04,19,5319
48,Kent Bazemore,SAC,30,68,32,36,24.8,107.5,106.6,0.8,7.7,1.02,11.9,1.5,14.4,8.1,11.6,45.3,49.9,17.1,102.83,6.4,3606
48,Mike Scott,PHI,31,68,39,29,17.8,110.2,104.6,5.7,6.4,2.15,12.5,5.1,14.8,9.9,5.8,54,55.7,13.2,101.84,7.9,2559
48,Rudy Gobert,UTA,28,68,42,26,34.3,112.8,106.6,6.2,6.5,0.78,10.4,10.4,27.6,19.5,13.4,69.3,69.9,16.2,99.37,15.1,4827
59,Al Horford,PHI,34,67,39,28,30.2,110.1,106.8,3.3,18.7,3.38,24.7,5.1,17.1,11.1,7.3,52,53.6,17.3,100.63,11.2,4241
59,Hassan Whiteside,POR,31,67,34,33,30,114.8,112,2.7,5.8,0.65,7.8,12.3,29.4,21.1,12,62.4,64.4,19.2,101.09,15.9,4228
59,Ja Morant,MEM,20,67,33,34,31,107.5,108.1,-0.6,35.4,2.22,27.4,2.4,9,5.9,12.3,50.9,55.6,25.6,103.79,13,4491
59,Kelly Olynyk,MIA,29,67,41,26,19.4,110.5,109,1.5,13.1,1.63,18.5,3.4,19.1,11.5,11.3,58.2,62.1,16.5,101.59,10.2,2760
59,Kendrick Nunn,MIA,24,67,42,25,29.3,110.3,109.1,1.2,18.2,1.93,17,1.1,7.9,4.6,8.8,51.4,53.4,23.6,99.1,8.6,4058
59,Kyle Anderson,MEM,26,67,32,35,19.8,102.9,105.8,-3,16.3,2.45,27.2,4.2,15.1,9.9,11.1,51.1,53.4,13.4,104.76,9.4,2900
59,LeBron James,LAL,35,67,50,17,34.6,112.1,103.6,8.5,47.7,2.62,28.5,2.8,19.1,11,10.9,55,57.7,30.8,101.5,19.8,4910
59,Pat Connaughton,MIL,27,67,53,14,18.6,107.3,103.8,3.5,11.5,2.06,22.5,4.4,15.1,10,10.9,54.7,56.5,11.8,107.17,9,2768
59,Rudy Gay,SAS,33,67,30,37,21.8,108.3,108.1,0.2,11.6,1.3,13.3,4,19.4,11.7,10.3,50.8,55.3,21.1,104.18,11.2,3173
59,T.J. Warren,IND,26,67,42,25,32.9,109.6,106.9,2.7,7.2,1.18,7.9,3.1,9.2,6.3,6.7,58.1,61,22.9,99.06,11.3,4546
